timestamp,marker_code,marker_label,EEG_0,EEG_1,EEG_2,EEG_3
1770773463.7726793,,,-36.1328125,-30.2734375,-363.76953125,-30.76171875
1770773463.775186,,,-29.296875,-34.66796875,126.46484375,-33.69140625
1770773463.777693,,,-19.53125,-34.66796875,172.8515625,-22.4609375
1770773463.7803166,,,-35.64453125,-39.0625,-496.09375,-20.5078125
1770773463.78294,,,-42.48046875,-37.109375,-481.93359375,-41.50390625
1770773463.7855635,,,-18.06640625,-23.92578125,142.578125,-33.203125
1770773463.788187,,,-8.30078125,-20.5078125,61.5234375,-8.7890625
1770773463.7908106,,,-25.390625,-22.4609375,-316.89453125,-23.4375
1770773463.7934341,,,-41.015625,-25.390625,-351.5625,-42.96875
1770773463.7960575,,,-28.3203125,-29.78515625,-166.50390625,-33.69140625
1770773463.798681,,,-12.6953125,-30.2734375,-45.8984375,-26.85546875
1770773463.8013046,,,-21.97265625,-36.1328125,-759.765625,-19.53125
1770773463.803928,,,-45.41015625,-38.0859375,-698.73046875,-47.36328125
1770773463.8065515,,,-41.015625,-32.2265625,129.39453125,-55.17578125
1770773463.809175,,,-18.5546875,-31.25,64.453125,-25.390625
1770773463.812937,,,-20.5078125,-28.80859375,-47.36328125,-20.99609375
1770773463.816699,,,-29.78515625,-29.296875,131.8359375,-33.69140625
1770773463.820461,,,-18.5546875,-29.78515625,165.52734375,-32.2265625
1770773463.824223,,,-4.39453125,-27.83203125,-28.80859375,-12.6953125
1770773463.827985,,,-3.90625,-26.85546875,-93.26171875,-17.08984375
1770773463.831747,,,-15.13671875,-28.3203125,-171.38671875,-34.1796875
1770773463.835509,,,-22.4609375,-27.34375,-253.41796875,-38.57421875
1770773463.839271,,,-18.06640625,-26.85546875,-496.58203125,-9.765625
1770773463.843033,,,-23.4375,-28.80859375,-704.1015625,-16.11328125
1770773463.846795,,,-24.4140625,-22.4609375,-65.4296875,-49.31640625
1770773463.850557,,,-31.25,-14.6484375,112.79296875,-37.59765625
1770773463.854319,,,-31.25,-20.5078125,-338.37890625,-12.6953125
1770773463.8580673,,,-19.53125,-28.80859375,-146.484375,-23.92578125
1770773463.8618155,,,-26.3671875,-30.2734375,212.40234375,-41.50390625
1770773463.8655636,,,-48.828125,-26.85546875,23.92578125,-43.45703125
1770773463.8693118,,,-46.875,-25.87890625,-189.453125,-34.66796875
1770773463.87306,,,-29.296875,-20.99609375,4.8828125,-16.11328125
1770773463.876808,,,-19.53125,-17.578125,-34.1796875,-14.16015625
1770773463.880556,,,-30.2734375,-14.16015625,-315.91796875,-33.203125
1770773463.8843043,,,-38.57421875,-13.671875,-754.8828125,-22.4609375
1770773463.8880525,,,-21.484375,-13.18359375,-300.29296875,-9.765625
1770773463.8918006,,,0.48828125,-15.625,206.54296875,-19.53125
1770773463.8955488,,,-8.30078125,-15.13671875,-36.62109375,-28.3203125
1770773463.899297,,,-23.92578125,-18.06640625,-278.80859375,-30.76171875
1770773463.9031296,,,-6.34765625,-21.484375,-156.73828125,-16.6015625
1770773463.906962,,,-8.30078125,-24.4140625,174.31640625,-13.671875
1770773463.9107945,,,-16.11328125,-28.3203125,-70.3125,-16.11328125
1770773463.914627,,,-22.94921875,-22.4609375,-292.96875,-31.73828125
1770773463.9184594,,,-22.4609375,-17.578125,1.46484375,-34.1796875
1770773463.922292,,,-11.23046875,-17.08984375,-20.5078125,-19.53125
1770773463.9261246,,,-8.30078125,-20.01953125,-420.41015625,-15.13671875
1770773463.929957,,,-29.296875,-26.85546875,-645.01953125,-35.64453125
1770773463.9337895,,,-30.76171875,-27.83203125,-74.70703125,-38.0859375
1770773463.937622,,,-12.20703125,-27.83203125,104.00390625,-15.625
1770773463.9414544,,,-5.859375,-22.94921875,-163.0859375,-17.578125
1770773463.945287,,,-22.94921875,-19.53125,-81.0546875,-40.0390625
1770773463.9502032,,,-29.78515625,-19.04296875,81.0546875,-46.38671875
1770773463.9551196,,,-27.34375,-23.4375,22.4609375,-34.1796875
1770773463.9600358,,,-30.2734375,-34.66796875,-386.23046875,-28.80859375
1770773463.964952,,,-32.71484375,-40.52734375,-406.25,-40.52734375
1770773463.9698682,,,-33.69140625,-36.62109375,-99.609375,-51.7578125
1770773463.9747844,,,-31.25,-38.0859375,-232.421875,-34.1796875
1770773463.9797008,,,-20.99609375,-40.52734375,-855.46875,-14.16015625
1770773463.984617,,,-22.4609375,-36.1328125,-598.14453125,-39.55078125
1770773463.9895332,,,-39.55078125,-33.203125,49.8046875,-61.03515625
1770773463.9944496,,,-29.296875,-28.80859375,-20.5078125,-38.57421875
1770773463.9993658,,,-21.484375,-30.2734375,-59.5703125,-17.578125
1770773464.004282,,,-24.90234375,-34.66796875,126.953125,-23.92578125
1770773464.0105767,,,-30.76171875,-37.59765625,117.1875,-52.734375
1770773464.0168715,,,-37.59765625,-41.015625,-113.28125,-59.08203125
1770773464.0231662,,,-35.15625,-38.57421875,-95.703125,-41.9921875
1770773464.029461,,,-28.3203125,-33.69140625,91.30859375,-41.015625
1770773464.0357556,,,-26.3671875,-25.390625,69.3359375,-57.6171875
1770773464.0420504,,,-32.2265625,-25.390625,-302.734375,-61.03515625
1770773464.0483453,,,-29.78515625,-28.3203125,-486.81640625,-28.3203125
1770773464.05464,,,-18.5546875,-28.80859375,-138.671875,-21.97265625
1770773464.0609348,,,-38.57421875,-32.2265625,83.984375,-45.41015625
1770773464.0672295,,,-45.41015625,-36.1328125,-433.10546875,-51.26953125
1770773464.0735242,,,-46.875,-37.59765625,-484.375,-55.6640625
1770773464.079819,,,-53.22265625,-32.2265625,155.2734375,-54.6875
1770773464.080886,,,-53.7109375,-34.1796875,116.69921875,-58.10546875
1770773464.0819526,,,-60.546875,-41.015625,-245.1171875,-80.56640625
1770773464.0830195,,,-47.8515625,-37.109375,-62.98828125,-56.640625
1770773464.0840864,,,-22.94921875,-32.2265625,123.53515625,-30.76171875
1770773464.085153,,,-16.6015625,-31.25,34.66796875,-37.59765625
1770773464.08622,,,-24.90234375,-36.62109375,-339.35546875,-55.17578125
